                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76027,                0.85769,                 1.1279,                0.78053,                0.72032,                0.79662,                0.60588,                0.85317,                 1.0284,                 1.1974,             0.00092402,             0.00092402,             0.00092402
                     36,                0.74696,                0.84554,                 1.1118,                0.75456,                0.66477,                0.74046,                0.56712,                0.85389,                 1.1398,                 1.2079,             0.00091852,             0.00091852,             0.00091852
                     37,                0.74948,                0.82065,                 1.1322,                0.74386,                0.68334,                0.77116,                 0.6051,                0.82924,                 1.1196,                 1.1951,             0.00091302,             0.00091302,             0.00091302
                     38,                0.74934,                0.84896,                  1.111,                0.82242,                0.71374,                0.81253,                0.61742,                0.85048,                0.98639,                 1.2008,             0.00090752,             0.00090752,             0.00090752
                     39,                0.73505,                0.78041,                 1.1048,                0.74545,                0.72036,                0.80017,                0.63144,                0.81432,                 1.0118,                 1.1743,             0.00090202,             0.00090202,             0.00090202
                     40,                0.74819,                0.79742,                 1.1103,                0.75751,                0.79517,                 0.8024,                0.64054,                0.77907,                 0.9509,                 1.1382,             0.00089652,             0.00089652,             0.00089652
                     41,                 0.7226,                0.78479,                 1.0966,                0.79775,                0.70372,                0.79099,                0.61873,                0.82395,                0.99716,                 1.1817,             0.00089102,             0.00089102,             0.00089102
                     42,                0.73004,                0.78569,                 1.1123,                0.78195,                0.73278,                0.80576,                0.63899,                0.80294,                0.98246,                 1.1625,             0.00088552,             0.00088552,             0.00088552
                     43,                0.74956,                 0.7927,                 1.1238,                0.78387,                0.78656,                0.80414,                0.62489,                 0.8015,                0.98235,                 1.1743,             0.00088002,             0.00088002,             0.00088002
                     44,                0.73726,                 0.7898,                 1.1175,                0.76748,                0.75361,                0.79568,                0.62659,                0.80095,                0.94019,                  1.153,             0.00087452,             0.00087452,             0.00087452
                     45,                 0.7292,                0.77091,                 1.1071,                0.77963,                0.81937,                0.85007,                0.67508,                0.76363,                0.83775,                 1.1211,             0.00086902,             0.00086902,             0.00086902
                     46,                0.72203,                0.76385,                 1.1098,                0.80358,                0.78004,                0.83362,                0.65338,                0.79611,                0.89158,                 1.1679,             0.00086352,             0.00086352,             0.00086352
                     47,                 0.7161,                0.78748,                 1.1061,                0.75088,                0.76398,                0.79682,                0.62707,                0.82433,                0.96946,                 1.1951,             0.00085803,             0.00085803,             0.00085803
                     48,                0.72765,                0.79228,                 1.1059,                0.88733,                0.70954,                0.82875,                0.65881,                0.77633,                0.91521,                 1.1356,             0.00085253,             0.00085253,             0.00085253
                     49,                0.71075,                0.73174,                 1.0868,                 0.8454,                0.81042,                0.85702,                 0.6744,                0.78372,                0.84718,                 1.1228,             0.00084703,             0.00084703,             0.00084703
                     50,                0.69209,                0.71497,                 1.0764,                0.81601,                0.75217,                0.78934,                0.63103,                0.78654,                0.96279,                 1.1521,             0.00084153,             0.00084153,             0.00084153
                     51,                0.70557,                0.72519,                 1.0963,                0.76385,                0.72352,                0.76105,                0.61386,                 0.7805,                  1.084,                 1.1401,             0.00083603,             0.00083603,             0.00083603
