                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.49743,                 0.4283,                0.97114,                0.85716,                0.77479,                0.83012,                0.68115,                0.76573,                0.81994,                 1.1491,             0.00028608,             0.00028608,             0.00028608
                    152,                0.48478,                0.39898,                0.96458,                0.81629,                0.78034,                0.82651,                 0.6769,                0.73716,                0.79992,                 1.1232,             0.00028058,             0.00028058,             0.00028058
                    153,                0.46565,                0.38759,                0.95696,                0.81655,                0.79626,                0.84024,                 0.6813,                0.73794,                0.75783,                 1.1214,             0.00027508,             0.00027508,             0.00027508
                    154,                0.49262,                0.40607,                0.96805,                 0.8535,                0.77769,                0.83728,                0.69005,                 0.7239,                0.73447,                 1.1128,             0.00026958,             0.00026958,             0.00026958
                    155,                 0.4906,                0.41067,                0.97287,                0.79468,                0.81317,                0.84652,                0.70094,                0.71626,                0.71714,                  1.093,             0.00026408,             0.00026408,             0.00026408
                    156,                0.48003,                0.41072,                0.96463,                0.84357,                0.82695,                0.86339,                0.70727,                0.70798,                0.68404,                 1.0814,             0.00025859,             0.00025859,             0.00025859
                    157,                0.46642,                0.38975,                0.95828,                0.82921,                0.81442,                0.84632,                0.69759,                0.70659,                0.70053,                   1.09,             0.00025309,             0.00025309,             0.00025309
                    158,                0.48577,                0.40117,                0.97118,                0.83945,                0.79126,                0.84358,                0.69901,                0.71035,                0.73542,                 1.1032,             0.00024759,             0.00024759,             0.00024759
                    159,                0.46685,                0.39349,                0.95661,                0.81601,                0.78398,                0.83421,                0.68826,                0.72546,                0.73315,                 1.1108,             0.00024209,             0.00024209,             0.00024209
                    160,                0.45858,                0.38443,                 0.9505,                0.83762,                0.79564,                0.85618,                0.70509,                0.69445,                0.71246,                   1.08,             0.00023659,             0.00023659,             0.00023659
                    161,                0.47895,                0.39852,                0.97226,                0.83559,                0.81026,                0.84634,                0.69274,                0.71809,                0.74181,                 1.0977,             0.00023109,             0.00023109,             0.00023109
                    162,                0.46629,                0.39142,                 0.9527,                0.84574,                0.81276,                0.84901,                0.69634,                0.71393,                0.70547,                  1.096,             0.00022559,             0.00022559,             0.00022559
                    163,                   0.46,                0.37849,                0.95665,                0.81669,                0.80052,                0.84288,                0.68761,                0.73723,                0.77561,                 1.1177,             0.00022009,             0.00022009,             0.00022009
                    164,                0.46218,                0.38487,                0.95828,                0.82356,                0.83135,                0.85063,                0.70018,                0.71669,                0.72396,                 1.0984,             0.00021459,             0.00021459,             0.00021459
                    165,                0.48883,                0.39959,                0.98091,                0.83441,                0.80505,                0.84048,                0.68498,                0.73932,                0.72674,                 1.1098,             0.00020909,             0.00020909,             0.00020909
                    166,                0.46281,                0.39197,                0.95773,                0.84428,                0.78291,                0.83468,                0.68219,                0.73093,                0.72235,                 1.1074,             0.00020359,             0.00020359,             0.00020359
                    167,                0.46745,                0.39358,                0.96361,                0.79421,                0.81835,                 0.8514,                0.69425,                0.72774,                0.71939,                 1.0968,             0.00019809,             0.00019809,             0.00019809
                    168,                0.48093,                0.40448,                0.97591,                 0.8085,                0.80923,                0.84262,                0.69637,                0.72128,                0.74669,                 1.0955,             0.00019259,             0.00019259,             0.00019259
                    169,                0.46825,                0.39432,                0.96817,                0.85056,                0.77914,                0.82958,                0.68273,                0.71778,                0.75053,                 1.0924,             0.00018709,             0.00018709,             0.00018709
                    170,                0.47257,                0.40441,                0.97162,                0.85946,                0.78781,                 0.8445,                0.69808,                 0.7196,                0.73753,                 1.1023,             0.00018159,             0.00018159,             0.00018159
                    171,                0.45239,                0.37514,                0.94734,                0.81703,                 0.8243,                 0.8411,                0.69499,                  0.711,                0.70026,                 1.0972,             0.00017609,             0.00017609,             0.00017609
                    172,                0.46147,                0.38006,                0.95334,                 0.8376,                0.80603,                0.83998,                0.69225,                0.72482,                0.68555,                 1.1075,             0.00017059,             0.00017059,             0.00017059
                    173,                0.44911,                 0.3813,                0.95802,                0.83666,                0.80465,                0.84163,                 0.6958,                0.73386,                 0.7383,                 1.1196,             0.00016509,             0.00016509,             0.00016509
                    174,                0.45387,                0.38095,                0.95351,                0.86852,                0.77568,                0.83777,                0.69377,                0.74826,                  0.782,                  1.128,              0.0001596,              0.0001596,              0.0001596
                    175,                 0.4616,                0.38139,                0.96157,                0.86076,                0.79908,                0.84049,                0.70009,                0.74276,                0.72271,                 1.1205,              0.0001541,              0.0001541,              0.0001541
                    176,                0.44624,                 0.3728,                0.95394,                0.85383,                0.79275,                0.84516,                0.70049,                0.71407,                 0.7092,                 1.0922,              0.0001486,              0.0001486,              0.0001486
                    177,                0.45595,                0.38443,                0.95909,                0.85487,                0.79401,                0.84083,                0.69719,                0.71394,                0.71943,                 1.0901,              0.0001431,              0.0001431,              0.0001431
                    178,                0.45267,                 0.3832,                0.95743,                0.83509,                 0.7975,                0.83716,                 0.6893,                 0.7161,                0.73394,                 1.0931,              0.0001376,              0.0001376,              0.0001376
                    179,                  0.467,                0.38537,                0.96838,                0.82467,                0.80061,                0.83555,                0.69161,                0.70893,                0.73645,                 1.0965,              0.0001321,              0.0001321,              0.0001321
                    180,                0.44627,                0.38614,                0.95328,                 0.8504,                0.80859,                 0.8483,                0.70035,                0.69981,                0.70731,                 1.0893,              0.0001266,              0.0001266,              0.0001266
                    181,                0.44772,                0.37806,                0.94901,                0.81689,                0.83188,                0.85036,                0.70568,                0.70021,                0.71609,                  1.083,              0.0001211,              0.0001211,              0.0001211
                    182,                0.43839,                0.37099,                0.95462,                0.86151,                 0.7866,                0.85235,                0.70718,                0.71393,                0.71832,                  1.093,              0.0001156,              0.0001156,              0.0001156
                    183,                0.44958,                0.37814,                0.96298,                 0.8608,                0.79495,                0.85152,                0.71269,                0.70487,                0.70494,                 1.0903,              0.0001101,              0.0001101,              0.0001101
                    184,                0.43623,                0.35985,                0.94259,                0.87746,                0.79415,                0.85377,                0.71242,                0.71566,                0.70382,                 1.1007,              0.0001046,              0.0001046,              0.0001046
                    185,                0.43943,                0.36542,                0.95519,                0.87261,                0.78588,                0.85001,                0.70938,                0.71865,                0.70808,                 1.1058,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    186,                 0.4341,                0.36494,                0.94172,                0.87525,                 0.7913,                0.85265,                0.70089,                0.71373,                0.72269,                 1.1082,             9.3602e-05,             9.3602e-05,             9.3602e-05
                    187,                 0.4438,                0.37123,                0.96154,                0.83992,                 0.8084,                0.84537,                0.69861,                0.71094,                0.72267,                 1.1083,             8.8102e-05,             8.8102e-05,             8.8102e-05
                    188,                0.42822,                0.36548,                0.94195,                0.83968,                 0.8232,                0.84763,                0.70226,                0.71599,                0.70495,                 1.1106,             8.2603e-05,             8.2603e-05,             8.2603e-05
                    189,                0.43632,                0.36679,                0.95799,                0.84181,                0.82806,                0.84783,                0.70695,                0.71498,                0.72136,                  1.112,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    190,                0.43391,                0.36254,                0.95401,                0.85266,                 0.8062,                0.85096,                0.70243,                0.71832,                0.73191,                 1.1079,             7.1604e-05,             7.1604e-05,             7.1604e-05
                    191,                0.36524,                0.29679,                0.89274,                0.86141,                0.79875,                 0.8484,                0.69428,                0.70298,                0.71286,                 1.0937,             6.6105e-05,             6.6105e-05,             6.6105e-05
                    192,                0.33518,                0.26964,                0.87076,                0.85272,                0.82239,                  0.858,                0.70464,                0.69387,                0.68763,                 1.0905,             6.0605e-05,             6.0605e-05,             6.0605e-05
                    193,                0.34413,                0.29565,                0.87299,                0.84864,                0.81803,                0.85475,                0.70799,                0.68055,                  0.682,                 1.0883,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    194,                0.33607,                0.26361,                0.87389,                0.84299,                0.81802,                0.85336,                0.70582,                0.69005,                0.70246,                 1.0983,             4.9606e-05,             4.9606e-05,             4.9606e-05
                    195,                0.32974,                0.25895,                0.87569,                0.84353,                0.82479,                0.85482,                0.70525,                0.69003,                0.69853,                 1.1004,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    196,                0.32956,                0.25976,                0.87031,                0.87975,                0.78253,                0.85328,                0.70914,                0.68746,                0.69383,                 1.0991,             3.8607e-05,             3.8607e-05,             3.8607e-05
                    197,                0.34023,                0.26658,                0.88439,                0.83662,                0.81706,                0.85108,                0.70644,                0.69203,                0.70068,                 1.0957,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    198,                0.32973,                0.25393,                0.87576,                0.83413,                0.82035,                0.85407,                0.70849,                0.69105,                0.68617,                 1.0902,             2.7608e-05,             2.7608e-05,             2.7608e-05
                    199,                0.32284,                0.25837,                0.87108,                 0.8451,                0.82807,                 0.8572,                0.71309,                  0.687,                0.68493,                 1.0906,             2.2109e-05,             2.2109e-05,             2.2109e-05
                    200,                0.34114,                0.26489,                0.88288,                0.84102,                0.82357,                0.85631,                0.71305,                0.68673,                0.68729,                 1.0903,             1.6609e-05,             1.6609e-05,             1.6609e-05
